年度,チーム,,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率
2005,千葉ロッテマリーンズ,,神田　義英,6,0,0,0,0,0,0,0,0,0,27,6,0.1,7,2,3,0,0,2,0,0,4,4,5.68
2005,千葉ロッテマリーンズ,,久保　康友,19,10,3,0,0,0,5,3,0,0.769,506,121,0.2,120,13,26,0,6,84,5,0,52,46,3.4
2005,千葉ロッテマリーンズ,,黒木　知宏,3,2,1,0,0,0,0,0,0,0.667,78,17,0.2,21,3,3,0,2,9,1,0,9,9,4.58
2005,千葉ロッテマリーンズ,,小林　宏之,23,12,6,0,0,0,4,1,1,0.667,666,160,0.2,157,14,28,1,6,129,6,0,60,59,3.3
2005,千葉ロッテマリーンズ,,小林　雅英,46,2,2,29,0,2,0,0,0,0.5,186,45,0.1,49,6,9,1,1,33,0,0,14,13,2.58
2005,千葉ロッテマリーンズ,,小宮山　悟,23,0,0,1,1,1,0,0,0,0,176,40,0.1,52,5,5,0,0,22,0,0,20,17,3.79
2005,千葉ロッテマリーンズ,,清水　直行,23,10,11,0,0,0,7,1,2,0.476,687,164,0.1,170,27,37,1,5,99,4,0,77,70,3.83
2005,千葉ロッテマリーンズ,*,セラフィニ,27,11,4,0,1,2,2,0,0,0.733,627,151,0.1,137,12,56,3,5,117,5,0,60,49,2.91
2005,千葉ロッテマリーンズ,*,高木　晃次,20,1,0,0,1,2,0,0,0,1,99,25,0.1,21,1,6,1,1,14,0,0,9,9,3.2
2005,千葉ロッテマリーンズ,,手嶌　智,1,0,1,0,0,0,0,0,0,0,17,3,,6,1,2,0,0,5,0,0,4,4,12
2005,千葉ロッテマリーンズ,*,藤田　宗一,45,1,4,0,24,25,0,0,0,0.2,154,38,0.2,27,2,13,2,1,31,1,0,12,11,2.56
2005,千葉ロッテマリーンズ,,薮田　安彦,51,7,4,2,19,26,0,0,0,0.636,220,55,0.2,42,7,13,1,2,54,1,0,20,19,3.07
2005,千葉ロッテマリーンズ,*,山北　茂利,7,0,0,0,0,0,0,0,0,0,35,7,0.1,7,2,5,0,1,8,0,1,6,6,7.36
2005,千葉ロッテマリーンズ,,山崎　健,40,1,2,1,6,7,0,0,0,0.333,161,40,0.1,34,5,12,2,3,30,4,0,16,15,3.35
2005,千葉ロッテマリーンズ,,渡辺　俊介,23,15,4,0,0,0,8,3,3,0.789,722,187,,152,14,27,1,4,101,0,0,48,45,2.17
2005,東北楽天ゴールデンイーグルス,,愛敬　尚史,16,0,0,0,1,1,0,0,0,0,81,16,,27,2,6,1,2,10,0,0,14,14,7.88
2005,東北楽天ゴールデンイーグルス,,朝井　秀樹,15,2,5,0,0,0,1,0,0,0.286,277,60,,71,10,28,0,3,43,5,0,45,40,6
2005,東北楽天ゴールデンイーグルス,*,有銘　兼久,37,3,10,0,2,2,4,1,0,0.231,540,125,,130,15,42,4,5,88,3,0,79,72,5.18
2005,東北楽天ゴールデンイーグルス,,一場　靖弘,23,2,9,1,0,0,2,0,0,0.182,473,102,,119,15,53,0,4,72,8,0,67,63,5.56
2005,東北楽天ゴールデンイーグルス,,岩隈　久志,27,9,15,0,0,0,9,0,1,0.375,796,182,0.1,218,19,40,3,6,124,7,0,113,101,4.99
2005,東北楽天ゴールデンイーグルス,,小倉　恒,15,1,2,0,2,3,0,0,0,0.333,83,17,0.1,25,3,8,0,0,10,0,0,16,15,7.79
2005,東北楽天ゴールデンイーグルス,*,金田　政彦,25,3,6,0,0,0,1,0,0,0.333,400,88,0.1,114,9,23,2,7,48,1,0,59,59,6.01
2005,東北楽天ゴールデンイーグルス,,川尻　哲郎,2,0,1,0,0,0,0,0,0,0,41,8,0.1,16,2,1,0,1,2,0,0,8,8,8.64
2005,東北楽天ゴールデンイーグルス,*,河本　育之,13,0,0,0,2,2,0,0,0,0,44,8,0.2,14,2,6,1,0,9,1,0,7,7,7.27
2005,東北楽天ゴールデンイーグルス,,紀藤　真琴,8,0,5,0,0,0,0,0,0,0,168,36,,49,9,10,0,2,20,1,0,28,25,6.25
2005,東北楽天ゴールデンイーグルス,*,小池　秀郎,11,0,0,0,0,0,0,0,0,0,42,7,0.2,12,0,4,0,1,4,2,0,7,6,7.04
2005,東北楽天ゴールデンイーグルス,,小林　宏,3,0,1,0,0,0,0,0,0,0,19,3,0.1,9,2,0,0,0,3,0,0,6,6,16.2
2005,東北楽天ゴールデンイーグルス,,小山　伸一郎,30,1,2,0,1,2,0,0,0,0.333,186,42,,39,8,25,2,0,46,5,0,22,21,4.5
2005,東北楽天ゴールデンイーグルス,,スクルメタ,5,1,0,0,0,1,0,0,0,1,34,7,0.1,7,2,4,0,0,6,0,0,7,5,6.14
2005,東北楽天ゴールデンイーグルス,,高村　祐,1,0,1,0,0,0,0,0,0,0,15,2,,8,1,1,0,0,0,0,0,9,9,40.5
2005,東北楽天ゴールデンイーグルス,,谷中　真二,21,0,0,0,0,0,0,0,0,0,137,25,0.1,44,3,15,0,2,11,1,1,26,23,8.17
2005,東北楽天ゴールデンイーグルス,,玉木　重雄,22,2,0,0,5,7,0,0,0,1,109,23,,28,1,13,1,0,17,1,0,12,9,3.52
